cor,crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,mean_search_time,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
true,false,645.6386988553035,0.75,false,0.5,30.74469994549064,10000.0,2.6847142857142856,29.592914231204944,28.140501012936,28,0,0.25034408974245487,40001,omniscient,1,28,lane
true,false,455.7572235048197,0.75,false,0.5,21.70272492880094,10000.0,1.783142857142857,17.430403500229517,17.430403500229517,28,0,0.25034408974245487,40002,omniscient,1,28,lane
true,false,305.66727349205513,0.75,false,0.5,23.97390380329844,10000.0,1.716,17.554786156239615,17.554786156239615,17,0,0.44012666865176525,40003,omniscient,1,17,lane
true,false,468.41573315475836,0.75,false,0.5,32.87127951963217,10000.0,1.9993684210526317,30.8778584670006,29.419847219177733,19,0,0.3972143184582181,40004,omniscient,1,19,lane
true,false,538.3558594514478,0.75,false,0.5,32.62762784554229,10000.0,2.2909090909090906,28.9117187546332,27.495965272357818,22,0,0.34056162628811465,40005,omniscient,1,22,lane
true,false,276.1601188421847,0.75,false,0.5,33.473953799052694,10000.0,1.7134545454545453,30.848953799052687,29.29600458890862,11,0,0.5987369392383786,40006,omniscient,1,11,lane
true,false,410.50188497683416,0.75,false,0.5,21.893433865431156,10000.0,1.69648,16.58343386543116,16.58343386543116,25,0,0.2919890243387723,40007,omniscient,1,25,lane
true,false,369.2793318849836,0.75,false,0.5,30.773277657081966,10000.0,1.82025,29.92952765708197,28.884420394597704,16,0,0.46329123015975293,40008,omniscient,1,16,lane
true,false,210.5768128351171,0.75,false,0.5,31.19656486446179,10000.0,1.6306666666666667,30.27989819779512,28.42369730113166,9,0,0.6634204312890623,40009,omniscient,1,9,lane
true,false,455.1787518574471,0.75,false,0.5,23.342500095253698,10000.0,1.7847692307692307,16.852115479869063,16.852115479869063,26,0,0.27738957312183365,40010,omniscient,1,26,lane
true,false,515.390828365956,0.75,false,0.5,34.359388557730405,10000.0,2.2692,33.2718885577304,27.840711956605624,20,0,0.37735360253530714,40011,omniscient,1,20,lane
true,false,427.6583998147827,0.75,false,0.5,30.01111577647598,10000.0,1.9437894736842105,28.215063144897044,27.555780995647595,19,0,0.3972143184582181,40012,omniscient,1,19,lane
true,false,378.9622077800167,0.75,false,0.5,22.967406532122222,10000.0,1.9527272727272726,18.603770168485852,18.603770168485852,22,0,0.34056162628811465,40013,omniscient,1,22,lane
true,false,576.5315597271945,0.75,false,0.5,22.60908077361547,10000.0,1.6485882352941175,18.572316067733112,18.572316067733112,34,0,0.18402591023557577,40014,omniscient,1,34,lane
true,false,348.99087422500617,0.75,false,0.5,23.26605828166708,10000.0,1.6714,18.10980828166708,18.10980828166708,20,0,0.37735360253530714,40015,omniscient,1,20,lane
true,false,191.82412862542935,0.75,false,0.5,28.418389425989535,10000.0,1.8977777777777776,25.751722759322867,25.751722759322867,9,0,0.6634204312890623,40016,omniscient,1,9,lane
true,false,294.6124567785407,0.75,false,0.5,23.106859355179665,10000.0,1.7190588235294118,18.033329943414955,18.033329943414955,17,0,0.44012666865176525,40017,omniscient,1,17,lane
true,false,375.0148452463985,0.75,false,0.5,33.33465291079098,10000.0,2.5906666666666665,31.734652910790977,29.35508058495796,15,0,0.48767497911552943,40018,omniscient,1,15,lane
true,false,848.9884026671575,0.75,false,0.5,32.34241533970124,10000.0,2.395885714285714,30.628129625415497,30.628129625415497,35,0,0.17482461472379698,40019,omniscient,1,35,lane
true,false,399.2511228833205,0.75,false,0.5,35.4889887007396,10000.0,1.972,33.68898870073959,30.37119467006858,15,0,0.48767497911552943,40020,omniscient,1,15,lane
true,false,349.4643980690458,0.75,false,0.5,31.063502050581846,10000.0,1.9986666666666666,29.58850205058186,29.462303079952257,15,0,0.48767497911552943,40021,omniscient,1,15,lane
true,false,566.2602850675974,0.75,false,0.5,34.31880515561196,10000.0,2.8718181818181816,28.233577882884703,27.30970200221385,22,0,0.34056162628811465,40022,omniscient,1,22,lane
true,false,366.71700352408726,0.75,false,0.5,28.762117923457826,10000.0,1.7018823529411764,25.806235570516655,25.549978352842302,17,0,0.44012666865176525,40023,omniscient,1,17,lane
true,false,658.3208039749322,0.75,false,0.5,27.43003349895551,10000.0,2.291125,17.527689748955503,17.527689748955503,32,0,0.20390682574579033,40024,omniscient,1,32,lane
true,false,674.1157665634915,0.75,false,0.5,28.99422651885985,10000.0,1.5834838709677417,26.732129744666302,26.631607803367615,31,0,0.2146387639429372,40025,omniscient,1,31,lane
true,false,281.38421595924393,0.75,false,0.5,25.01193030748835,10000.0,2.0658666666666665,20.836930307488352,20.836930307488352,15,0,0.48767497911552943,40026,omniscient,1,15,lane
true,false,337.7731322226744,0.75,false,0.5,23.7033776998368,10000.0,1.6549473684210525,17.959956647205225,17.959956647205225,19,0,0.3972143184582181,40027,omniscient,1,19,lane
true,false,216.14012304021762,0.75,false,0.5,32.02075896892113,10000.0,1.3937777777777778,31.02075896892113,28.77790369362475,9,0,0.6634204312890623,40028,omniscient,1,9,lane
true,false,465.23674744513977,0.75,false,0.5,29.53884110762792,10000.0,2.0906666666666665,28.39598396477077,27.075941775896233,21,0,0.35848592240854177,40029,omniscient,1,21,lane
true,false,287.87336973031483,0.75,false,0.5,29.52547381849383,10000.0,1.519076923076923,27.823550741570756,27.479053673768018,13,0,0.5403600876626365,40030,omniscient,1,13,lane
true,false,391.43348955238616,0.75,false,0.5,32.61945746269885,10000.0,2.32925,30.908519962698847,27.12301152729404,16,0,0.46329123015975293,40031,omniscient,1,16,lane
true,false,540.0371814373688,0.75,false,0.5,21.177928683818383,10000.0,1.4504705882352942,17.6374875073478,17.6374875073478,34,0,0.18402591023557577,40032,omniscient,1,34,lane
true,false,655.3309125598018,0.75,false,0.5,32.362020373323546,10000.0,2.5570370370370368,31.112020373323553,28.042013539877694,27,0,0.263520094465742,40033,omniscient,1,27,lane
true,false,337.86504987725397,0.75,false,0.5,30.03244887797813,10000.0,1.4784,27.682448877978125,27.682448877978125,15,0,0.48767497911552943,40034,omniscient,1,15,lane
true,false,620.6542311561554,0.75,false,0.5,23.643970710710683,10000.0,2.0591999999999997,18.651113567853564,18.651113567853564,35,0,0.17482461472379698,40035,omniscient,1,35,lane
true,false,407.15033392299534,0.75,false,0.5,22.619462995721964,10000.0,1.4795,17.885087995721968,17.885087995721968,24,0,0.30735686772502346,40036,omniscient,1,24,lane
true,false,539.9236766535906,0.75,false,0.5,23.222523727036155,10000.0,2.0654193548387094,19.35155598510068,19.35155598510068,31,0,0.2146387639429372,40037,omniscient,1,31,lane
true,false,515.3909532001281,0.75,false,0.5,31.23581534546231,10000.0,2.4103636363636363,28.116497163644112,27.76909554872548,22,0,0.34056162628811465,40038,omniscient,1,22,lane
true,false,374.7497532365276,0.75,false,0.5,22.71210625675925,10000.0,1.8125454545454545,18.05869716585015,18.05869716585015,22,0,0.34056162628811465,40039,omniscient,1,22,lane
true,false,222.3601985811867,0.75,false,0.5,29.64802647749156,10000.0,1.3963999999999999,26.685526477491557,26.639994494520145,10,0,0.6302494097246091,40040,omniscient,1,10,lane
true,false,280.52417717833805,0.75,false,0.5,28.771710479829544,10000.0,1.6212307692307693,26.723633556752617,26.723633556752617,13,0,0.5403600876626365,40041,omniscient,1,13,lane
true,false,321.6320894897741,0.75,false,0.5,23.824599221464748,10000.0,1.978222222222222,20.07459922146475,20.07459922146475,18,0,0.41812033521917696,40042,omniscient,1,18,lane
true,false,378.3808363294619,0.75,false,0.5,33.63385211817439,10000.0,2.9848,30.283852118174394,30.283852118174394,15,0,0.48767497911552943,40043,omniscient,1,15,lane
true,false,220.5777932971895,0.75,false,0.5,32.67819159958363,10000.0,2.422222222222222,31.80319159958362,30.814054427495147,9,0,0.6634204312890623,40044,omniscient,1,9,lane
true,false,388.5969448297571,0.75,false,0.5,28.784958876278303,10000.0,2.1606666666666663,27.493292209611624,26.657974722409346,18,0,0.41812033521917696,40045,omniscient,1,18,lane
true,false,512.1490117120321,0.75,false,0.5,24.388048176763434,10000.0,1.6897142857142855,18.414833891049163,18.414833891049163,28,0,0.25034408974245487,40046,omniscient,1,28,lane
true,false,477.93589633711105,0.75,false,0.5,31.862393089140735,10000.0,2.7022,30.681143089140747,30.367751445142616,20,0,0.37735360253530714,40047,omniscient,1,20,lane
true,false,161.5346492410018,0.75,false,0.5,30.768504617333676,10000.0,1.3519999999999999,28.250647474476537,27.527938720377847,7,0,0.7350918906249998,40048,omniscient,1,7,lane
