crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,216.59511433302518,0.75,false,0.25,28.87934857773669,4341.6,27.041848577736694,26.791781637882153,10,0,0.6302494097246091,40014,mlmpc,1,10,lane
false,845.3126329338703,0.75,false,0.25,34.15404577510587,2964.3030303030305,32.60859122965131,30.05930130777167,33,0,0.1937114844585008,40015,mlmpc,1,33,lane
false,530.7232805627151,0.75,false,0.25,33.69671622620413,3690.9523809523807,31.661001940489854,28.624157055528347,21,0,0.35848592240854177,40016,mlmpc,1,21,lane
false,590.5173992643477,0.75,false,0.25,31.494261294098543,2944.84,27.909261294098542,27.907546476702592,25,0,0.2919890243387723,40017,mlmpc,1,25,lane
false,431.1602538310263,0.75,false,0.25,35.930021152585525,4037.5,34.031583652585525,30.210580225002037,16,0,0.46329123015975293,40018,mlmpc,1,16,lane
false,400.5309609068037,0.75,false,0.25,29.668960067170648,4655.555555555556,28.148126733837316,27.379158610499452,18,0,0.41812033521917696,40019,mlmpc,1,18,lane
false,576.8258917410973,0.75,false,0.25,34.95914495400589,3853.590909090909,32.93073586309681,29.407111495998112,22,0,0.34056162628811465,40020,mlmpc,1,22,lane
false,1022.8674613106225,0.75,false,0.25,34.9698277371153,31872.333333333332,32.931366198653784,30.52231765821987,39,0,0.0,40021,mlmpc,0,,distance
false,478.3085193392735,0.75,false,0.25,33.565510129071825,3662.1052631578946,30.486562760650763,24.502107799390824,19,1,0.2752955736793357,40022,mlmpc,1,19,lane
false,895.5915559942362,0.75,false,0.25,31.424265122604776,2732.8684210526317,29.80584406997321,27.790139161406422,38,0,0.14989025404881542,40023,mlmpc,1,38,lane
false,724.995016114878,0.75,false,0.25,34.52357219594657,3599.0714285714284,32.327143624517994,28.983402951765793,28,0,0.25034408974245487,40024,mlmpc,1,28,lane
false,624.3384410752028,0.75,false,0.25,33.298050190677486,2949.6,30.898050190677495,27.82640800485003,25,0,0.2919890243387723,40025,mlmpc,1,25,lane
false,394.49721640075745,0.75,false,0.25,26.299814426717163,3955.95,17.73106442671716,17.73106442671716,20,0,0.37735360253530714,40026,mlmpc,1,20,lane
false,356.35430133708695,0.75,false,0.25,23.756953422472463,5082.75,17.138203422472458,17.138203422472458,20,0,0.37735360253530714,40027,mlmpc,1,20,lane
false,358.66006249137644,0.75,false,0.25,34.1581011896549,4837.214285714285,33.14024404679775,29.23837577024228,14,0,0.5133420832795047,40028,mlmpc,1,14,lane
