cor,crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,mean_search_time,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
true,false,548.4224561616887,0.75,false,0.5,30.46791423120493,1000.0,0.49616666666666664,28.092914231204944,22.71401679574608,24,1,0.10874970849591442,40001,meanmpc,1,24,lane
true,false,924.5371050068853,0.75,false,0.5,30.817903500229512,1000.0,0.5032,28.680403500229517,27.40715019927359,40,0,0.1352759542790559,40002,meanmpc,1,40,lane
true,false,406.58336310923477,0.75,false,0.5,30.11728615623961,1000.0,0.35688888888888887,28.054786156239615,27.481724639693027,18,0,0.41812033521917696,40003,meanmpc,1,18,lane
true,false,362.5634077537566,0.75,false,0.5,32.22785846700059,1000.0,0.41386666666666666,30.1278584670006,28.61058149572051,15,0,0.48767497911552943,40004,meanmpc,1,15,lane
true,false,476.172070385473,0.75,false,0.5,30.233147326061776,1000.0,0.5217142857142857,25.9117187546332,25.82789801926977,21,0,0.35848592240854177,40005,meanmpc,1,21,lane
true,false,251.89840349289517,0.75,false,0.5,33.58645379905269,1000.0,0.46599999999999997,32.34895379905269,29.57823347210376,10,0,0.6302494097246091,40006,meanmpc,1,10,lane
true,false,352.0954087796141,0.75,false,0.5,21.339115683612977,1000.0,0.31636363636363635,16.58343386543116,16.58343386543116,22,0,0.34056162628811465,40007,meanmpc,1,22,lane
true,false,322.13504039936066,0.75,false,0.5,30.67952765708197,1000.0,0.40628571428571425,29.92952765708197,28.6099011750769,14,0,0.5133420832795047,40008,meanmpc,1,14,lane
true,false,211.4205628351171,0.75,false,0.5,31.32156486446179,1000.0,0.3137777777777777,31.02989819779512,28.591137438488758,9,0,0.6634204312890623,40009,meanmpc,1,9,lane
true,false,338.3847125386252,0.75,false,0.5,32.22711547986906,1000.0,0.474,30.352115479869063,27.966778204946664,14,0,0.5133420832795047,40010,meanmpc,1,14,lane
true,false,560.2361612025517,0.75,false,0.5,33.953706739548586,1000.0,0.4478181818181818,32.5218885577304,29.729621325332875,22,0,0.34056162628811465,40011,meanmpc,1,22,lane
true,false,390.31969717345544,0.75,false,0.5,26.02131314489703,1000.0,0.37179999999999996,22.215063144897044,22.215063144897044,20,0,0.37735360253530714,40012,meanmpc,1,20,lane
true,false,378.9622077800167,0.75,false,0.5,22.967406532122222,1000.0,0.364,17.103770168485852,17.103770168485852,22,0,0.34056162628811465,40013,meanmpc,1,22,lane
true,false,322.16376691439694,0.75,false,0.5,23.863982734399773,1000.0,0.3813333333333333,19.322316067733112,19.322316067733112,18,0,0.41812033521917696,40014,meanmpc,1,18,lane
true,false,449.4111177037585,0.75,false,0.5,22.19314161500042,1000.0,0.3542222222222222,16.60980828166708,16.60980828166708,27,0,0.263520094465742,40015,meanmpc,1,27,lane
true,false,191.82412862542935,0.75,false,0.5,28.418389425989535,1000.0,0.44622222222222224,25.751722759322867,25.751722759322867,9,0,0.6634204312890623,40016,meanmpc,1,9,lane
true,false,294.3312067785407,0.75,false,0.5,23.084800531650252,1000.0,0.32705882352941174,17.283329943414955,17.283329943414955,17,0,0.44012666865176525,40017,meanmpc,1,17,lane
true,false,372.34380397877146,0.75,false,0.5,26.129389752896245,1000.0,0.4061052631578947,19.734652910790977,19.734652910790977,19,0,0.3972143184582181,40018,meanmpc,1,19,lane
true,false,575.9860554480954,0.75,false,0.5,22.587688448944917,1000.0,0.41223529411764703,16.378129625415497,16.378129625415497,34,0,0.18402591023557577,40019,meanmpc,1,34,lane
true,false,496.94308898553936,0.75,false,0.5,34.873199227055395,1000.0,0.38294736842105265,33.68898870073959,27.527260512956637,19,1,0.19860715922910904,40020,meanmpc,1,19,lane
true,false,275.01526845523665,0.75,false,0.5,30.55725205058185,1000.0,0.38366666666666666,29.58850205058186,28.893854185529136,12,0,0.5688000922764596,40021,meanmpc,1,12,lane
true,false,321.52830141894344,0.75,false,0.5,23.81691121621803,1000.0,0.35355555555555557,19.983577882884703,19.983577882884703,18,0,0.41812033521917696,40022,meanmpc,1,18,lane
true,false,348.5107102356372,0.75,false,0.5,22.127664141945218,1000.0,0.3036190476190476,16.806235570516655,16.806235570516655,21,0,0.35848592240854177,40023,meanmpc,1,21,lane
true,false,323.45707892261584,0.75,false,0.5,22.698742380534444,1000.0,0.37157894736842106,16.777689748955503,16.777689748955503,19,0,0.3972143184582181,40024,meanmpc,1,19,lane
true,false,391.5400015529949,0.75,false,0.5,29.002963077999624,1000.0,0.33666666666666667,25.232129744666302,25.232129744666302,18,0,0.41812033521917696,40025,meanmpc,1,18,lane
true,false,427.9763909960228,0.75,false,0.5,21.94750723056527,1000.0,0.32984615384615384,16.336930307488352,16.336930307488352,26,0,0.27738957312183365,40026,meanmpc,1,26,lane
true,false,474.5316546205018,0.75,false,0.5,24.33495664720522,1000.0,0.3292307692307692,17.209956647205225,17.209956647205225,26,0,0.27738957312183365,40027,meanmpc,1,26,lane
true,false,216.14012304021762,0.75,false,0.5,32.02075896892113,1000.0,0.31555555555555553,31.02075896892113,28.77790369362475,9,0,0.6634204312890623,40028,meanmpc,1,9,lane
true,false,364.2679974451397,0.75,false,0.5,23.128126821913632,1000.0,0.35657142857142854,18.64598396477077,18.64598396477077,21,0,0.35848592240854177,40029,meanmpc,1,21,lane
true,false,358.351358898849,0.75,false,0.5,29.862613241570752,1000.0,0.386,27.823550741570756,27.823550741570756,16,0,0.46329123015975293,40030,meanmpc,1,16,lane
