crashed,distance,dt,exception,first_search_time,lambda,mean_ego_speed,mean_iterations,mean_search_time,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,834.4943128957254,0.75,false,9.299999999999999,0.5,32.72526717238139,10000.0,6.111529411764705,25.842914231204944,25.842914231204944,34,0,0.18402591023557577,40001,pomcpow,1,34,lane
false,655.9646445061968,0.75,false,10.011999999999999,0.5,24.294986833562845,10000.0,5.435444444444443,19.680403500229517,19.680403500229517,36,0,0.16608338398760714,40002,pomcpow,1,36,lane
false,379.3547734920551,0.75,false,8.012,0.5,29.753315568004318,10000.0,4.237411764705882,28.054786156239615,27.18836399018404,17,0,0.44012666865176525,40003,pomcpow,1,17,lane
false,315.40287005325575,0.75,false,7.763999999999999,0.5,32.34901231315444,10000.0,4.765538461538462,30.1278584670006,28.69806888358119,13,0,0.5403600876626365,40004,pomcpow,1,13,lane
false,495.3246094514479,0.75,false,9.452,0.5,30.01967330008775,10000.0,5.775818181818181,27.4117187546332,26.040661199321697,22,0,0.34056162628811465,40005,pomcpow,1,22,lane
false,277.0038688421847,0.75,false,9.08,0.5,33.57622652632542,10000.0,5.316363636363636,32.34895379905269,29.57823347210376,11,0,0.5987369392383786,40006,pomcpow,1,11,lane
false,268.12613098610063,0.75,false,8.751999999999999,0.5,23.833433865431168,10000.0,4.930133333333333,18.83343386543116,18.83343386543116,15,0,0.48767497911552943,40007,pomcpow,1,15,lane
false,344.86343614217213,0.75,false,7.768,0.5,30.654527657081967,10000.0,4.699466666666667,29.92952765708197,28.586230960711266,15,0,0.48767497911552943,40008,pomcpow,1,15,lane
false,280.1128337801561,0.75,false,7.792,0.5,31.123648197795124,10000.0,4.831666666666667,30.27989819779512,28.174868021434627,12,0,0.5688000922764596,40009,pomcpow,1,12,lane
false,380.71615541783973,0.75,false,7.271999999999999,0.5,23.073706388959984,10000.0,3.686,18.352115479869063,18.352115479869063,22,0,0.34056162628811465,40010,pomcpow,1,22,lane
false,439.62916045744515,0.75,false,9.32,0.5,23.446888557730407,10000.0,4.85392,18.2718885577304,18.2718885577304,25,0,0.2919890243387723,40011,pomcpow,1,25,lane
false,291.89325773876453,0.75,false,7.824,0.5,24.324438144897044,10000.0,3.8234999999999997,17.715063144897044,17.715063144897044,16,0,0.46329123015975293,40012,pomcpow,1,16,lane
false,381.4934577800167,0.75,false,9.559999999999999,0.5,23.120815623031316,10000.0,4.551090909090909,18.603770168485852,18.603770168485852,22,0,0.34056162628811465,40013,pomcpow,1,22,lane
false,346.4992539651968,0.75,false,9.379999999999999,0.5,24.315737120364687,10000.0,4.556,20.072316067733112,20.072316067733112,19,0,0.3972143184582181,40014,pomcpow,1,19,lane
false,270.70702453500365,0.75,false,7.544,0.5,30.07855828166707,10000.0,5.661,27.85980828166708,27.14509071044941,12,1,0.23708987663192843,40015,pomcpow,1,12,lane
false,215.9191706949215,0.75,false,7.056,0.5,28.789222759322865,10000.0,4.33,27.251722759322867,26.401849271690306,10,0,0.6302494097246091,40016,pomcpow,1,10,lane
false,322.4812042361019,0.75,false,9.12,0.5,23.887496610081623,10000.0,4.326,17.283329943414955,17.283329943414955,18,0,0.41812033521917696,40017,pomcpow,1,18,lane
false,467.65302302805117,0.75,false,8.62,0.5,28.342607456245524,10000.0,4.5012727272727275,26.484652910790977,26.2007265796264,22,0,0.34056162628811465,40018,pomcpow,1,22,lane
false,720.0001387624656,0.75,false,8.588,0.5,24.000004625415517,10000.0,4.9262,20.128129625415497,20.128129625415497,40,0,0.1352759542790559,40019,pomcpow,1,40,lane
false,730.2042542410866,0.75,false,7.984,0.5,33.57260939039479,10000.0,5.290068965517241,30.688988700739593,26.96258696151646,29,0,0.2378268852553321,40020,pomcpow,1,29,lane
false,251.41764191730027,0.75,false,7.207999999999999,0.5,30.47486568694549,10000.0,4.407272727272727,29.58850205058186,28.547623042560087,11,0,0.5987369392383786,40021,pomcpow,1,11,lane
false,344.39098483110695,0.75,false,8.6,0.5,24.167788409200487,10000.0,4.728631578947368,19.233577882884703,19.233577882884703,19,0,0.3972143184582181,40022,pomcpow,1,19,lane
false,295.1529734904248,0.75,false,8.244,0.5,28.10980699908808,10000.0,4.348571428571428,25.056235570516655,24.58527562538843,14,0,0.5133420832795047,40023,pomcpow,1,14,lane
false,398.4671654811989,0.75,false,8.216,0.5,22.137064748955495,10000.0,3.757833333333333,18.277689748955503,18.277689748955503,24,0,0.30735686772502346,40024,pomcpow,1,24,lane
false,412.9953488614946,0.75,false,9.056,0.5,28.982129744666288,10000.0,4.636631578947368,26.732129744666302,25.811982794545333,19,0,0.3972143184582181,40025,pomcpow,1,19,lane
false,278.85296595924393,0.75,false,9.58,0.5,24.78693030748835,10000.0,5.234666666666667,19.336930307488352,19.336930307488352,15,0,0.48767497911552943,40026,pomcpow,1,15,lane
false,310.58197976646267,0.75,false,9.4,0.5,25.88183164720522,10000.0,5.0497499999999995,20.209956647205225,20.209956647205225,16,0,0.46329123015975293,40027,pomcpow,1,16,lane
false,192.03080381352677,0.75,false,7.4319999999999995,0.5,32.00513396892113,10000.0,3.6025,31.02075896892113,28.010107598442872,8,0,0.6983372960937497,40028,pomcpow,1,8,lane
false,367.3617474451397,0.75,false,9.74,0.5,23.324555393342205,10000.0,4.711238095238095,18.64598396477077,18.64598396477077,21,0,0.35848592240854177,40029,pomcpow,1,21,lane
