cor,crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,mean_search_time,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
true,false,831.280241262744,0.75,false,0.5,28.419837308128,10000.0,4.791076923076923,18.342914231204944,18.342914231204944,39,0,0.14239574134637464,40001,omniscient-x10,1,39,lane
true,false,462.2259735048197,0.75,false,0.5,22.010760643086652,10000.0,3.5534285714285714,16.680403500229517,16.680403500229517,28,0,0.25034408974245487,40002,omniscient-x10,1,28,lane
true,false,302.57352349205513,0.75,false,0.5,23.731256744474912,10000.0,3.040235294117647,16.804786156239615,16.804786156239615,17,0,0.44012666865176525,40003,omniscient-x10,1,17,lane
true,false,492.6991270050088,0.75,false,0.5,32.846608467000586,10000.0,3.7361999999999997,30.8778584670006,29.644501239290303,20,0,0.37735360253530714,40004,omniscient-x10,1,20,lane
true,false,427.96816412157335,0.75,false,0.5,33.56613051933908,10000.0,5.043294117647059,31.1617187546332,28.776402434926858,17,0,0.44012666865176525,40005,omniscient-x10,1,17,lane
true,false,252.17965349289517,0.75,false,0.5,33.62395379905269,10000.0,3.7956,31.598953799052687,29.57823347210376,10,0,0.6302494097246091,40006,omniscient-x10,1,10,lane
true,false,412.47063497683416,0.75,false,0.5,21.998433865431156,10000.0,3.3095999999999997,17.33343386543116,17.33343386543116,25,0,0.2919890243387723,40007,omniscient-x10,1,25,lane
true,false,460.881993125002,0.75,false,0.5,30.725466208333465,10000.0,3.5757999999999996,28.19703606709396,28.19703606709396,20,0,0.37735360253530714,40008,omniscient-x10,1,20,lane
true,false,702.1102094503904,0.75,false,0.5,31.204898197795128,10000.0,3.2669333333333332,30.27989819779512,29.671699398212738,30,0,0.2259355409925655,40009,omniscient-x10,1,30,lane
true,false,461.38341524754526,0.75,false,0.5,24.60711547986908,10000.0,3.3878399999999997,18.352115479869063,18.352115479869063,25,0,0.2919890243387723,40010,omniscient-x10,1,25,lane
true,false,564.7361612025517,0.75,false,0.5,34.22643401227586,10000.0,4.148,32.5218885577304,29.155899518152648,22,0,0.34056162628811465,40011,omniscient-x10,1,22,lane
true,false,480.9497445321282,0.75,false,0.5,30.5364917163256,10000.0,3.616190476190476,28.965063144897044,28.381263489142427,21,0,0.35848592240854177,40012,omniscient-x10,1,21,lane
true,false,379.5247077800167,0.75,false,0.5,23.001497441213132,10000.0,3.376,18.603770168485852,18.603770168485852,22,0,0.34056162628811465,40013,omniscient-x10,1,22,lane
true,false,359.8659910159966,0.75,false,0.5,23.991066067733108,10000.0,3.9072,18.572316067733112,18.572316067733112,20,0,0.37735360253530714,40014,omniscient-x10,1,20,lane
true,false,427.87140528125786,0.75,false,0.5,22.819808281667086,10000.0,3.2319999999999998,18.85980828166708,18.85980828166708,25,0,0.2919890243387723,40015,omniscient-x10,1,25,lane
