crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,456.3023243401791,0.75,false,0.25,32.021215743170465,3139.5789473684213,29.889636795802033,27.138687956321547,19,1,0.262124296542559,40079,mlmpc,1,19,lane
false,217.64617637646143,0.75,false,0.25,32.24387798169799,4842.444444444444,30.618877981697985,29.875355724368685,9,0,0.6634204312890623,40080,mlmpc,1,9,lane
false,517.6164243977225,0.75,false,0.25,22.263072017106346,3569.0,17.521136533235385,17.521136533235385,31,0,0.2146387639429372,40081,mlmpc,1,31,lane
false,667.3266991237988,0.75,false,0.25,31.777461863038038,2856.5714285714284,25.84442614875232,25.374171514798366,28,0,0.25034408974245487,40082,mlmpc,1,28,lane
false,368.7809703513479,0.75,false,0.25,30.73174752927899,4255.125,28.927060029278998,27.530641386210807,16,0,0.46329123015975293,40083,mlmpc,1,16,lane
false,989.7250079051546,0.75,false,0.25,38.81274540804528,4894.14705882353,32.481863055104085,29.15282128735894,34,0,0.18402591023557577,40084,mlmpc,1,34,lane
false,834.1628825175189,0.75,false,0.25,28.518389145898084,3637.871794871795,26.664219180800096,26.664219180800096,39,0,0.14239574134637464,40085,mlmpc,1,39,lane
false,652.1927510436361,0.75,false,0.25,32.20704943425363,2898.777777777778,29.95704943425362,27.932885238765024,27,0,0.263520094465742,40086,mlmpc,1,27,lane
false,1011.6932321963783,0.75,false,0.25,36.45741377284246,5137.621621621622,31.97768404311273,31.300483617026845,37,0,0.0,40087,mlmpc,0,,distance
false,964.2735522402697,0.75,false,0.25,34.74859647712684,3470.2162162162163,29.721569450099835,28.06133243594958,37,0,0.15777921478822676,40088,mlmpc,1,37,lane
false,526.1960280006572,0.75,false,0.25,31.89066836367619,2829.0,30.867941090948925,29.0622137333207,22,0,0.34056162628811465,40089,mlmpc,1,22,lane
false,879.2296992156258,0.75,false,0.25,23.44612531241669,3507.86,18.578625312416705,18.578625312416705,50,0,0.08099471081759278,40090,mlmpc,1,50,lane
false,1009.2387982526617,0.75,false,0.25,32.82077392691583,4965.5609756097565,30.34211539033045,29.718939704723503,41,0,0.0,40091,mlmpc,0,,distance
false,511.19392389450167,0.75,false,0.25,30.9814499330001,2890.2727272727275,23.396222660272812,23.396222660272812,22,1,0.23052995912517332,40092,mlmpc,1,22,lane
false,743.2487603436255,0.75,false,0.25,38.115321043262846,3466.846153846154,34.192244120185904,28.046293616427025,26,0,0.27738957312183365,40093,mlmpc,1,26,lane
false,552.6141656855791,0.75,false,0.25,27.289588428917487,3182.8518518518517,17.622921762250805,17.622921762250805,27,0,0.263520094465742,40094,mlmpc,1,27,lane
false,276.0301230037202,0.75,false,0.25,26.288583143211447,3296.6428571428573,20.529654571782864,20.529654571782864,14,0,0.5133420832795047,40095,mlmpc,1,14,lane
false,531.0222130250596,0.75,false,0.25,23.600987245558205,3794.1,17.92598724555822,17.92598724555822,30,0,0.2259355409925655,40096,mlmpc,1,30,lane
false,204.79226308514188,0.75,false,0.25,30.339594531132132,4356.888888888889,28.96459453113213,26.50852146841526,9,1,0.4975653234667967,40097,mlmpc,1,9,lane
false,347.3864349376032,0.75,false,0.25,23.159095662506882,4360.8,18.50909566250688,18.50909566250688,20,0,0.37735360253530714,40098,mlmpc,1,20,lane
false,576.7801586685572,0.75,false,0.25,30.76160846232305,3972.68,28.541608462323047,28.541608462323047,25,0,0.2919890243387723,40099,mlmpc,1,25,lane
false,467.39206497581944,0.75,false,0.25,32.79944315619785,3475.2105263157896,31.477074735145216,28.251457601924272,19,0,0.3972143184582181,40100,mlmpc,1,19,lane
false,635.8276203230755,0.75,false,0.25,33.910806417230695,2897.28,32.30580641723069,28.064145474203627,25,0,0.2919890243387723,40101,mlmpc,1,25,lane
false,477.6851169870704,0.75,false,0.25,25.476539572643755,3750.92,18.696539572643772,18.696539572643772,25,0,0.2919890243387723,40102,mlmpc,1,25,lane
false,687.6500247306675,0.75,false,0.25,32.74523927288893,2778.6428571428573,28.41934641574607,26.90595930068974,28,0,0.25034408974245487,40103,mlmpc,1,28,lane
false,793.9604711150718,0.75,false,0.25,30.246113185336068,2780.8285714285716,27.642541756764643,27.331366261685375,35,0,0.17482461472379698,40104,mlmpc,1,35,lane
false,611.8224262903676,0.75,false,0.25,30.21345315014161,3710.4444444444443,27.72734203903051,26.025302475009877,27,0,0.263520094465742,40105,mlmpc,1,27,lane
false,392.75909551158617,0.75,false,0.25,24.937085429307057,4036.904761904762,16.526371143592776,16.526371143592776,21,0,0.35848592240854177,40106,mlmpc,1,21,lane
false,515.1298009088597,0.75,false,0.25,34.341986727257314,3811.6,31.8482367272573,30.967007144200107,20,0,0.37735360253530714,40107,mlmpc,1,20,lane
false,465.3314120210417,0.75,false,0.25,31.02209413473611,3118.05,29.428344134736122,26.43397986807539,20,1,0.2615307949953689,40108,mlmpc,1,20,lane
false,388.1903339794327,0.75,false,0.25,28.754839554032053,3157.0555555555557,26.69233955403204,25.900136753618174,18,0,0.41812033521917696,40109,mlmpc,1,18,lane
false,602.5424601799651,0.75,false,0.25,36.517724859391826,3222.4545454545455,33.29613395030091,28.919573528166747,22,0,0.34056162628811465,40110,mlmpc,1,22,lane
false,563.251952154903,0.75,false,0.25,28.884715495123235,3905.923076923077,26.00010011050785,26.00010011050785,26,0,0.27738957312183365,40111,mlmpc,1,26,lane
false,1016.7626736297309,0.75,false,0.25,33.06545280096686,4907.8536585365855,28.2087454838937,28.2087454838937,41,0,0.0,40112,mlmpc,0,,distance
false,456.9520219596492,0.75,false,0.25,32.06680855857187,3036.5263157894738,26.34312434804555,25.193383412418527,19,0,0.3972143184582181,40113,mlmpc,1,19,lane
false,350.9869223922281,0.75,false,0.25,24.630661220507235,4279.684210526316,17.624082273138825,17.624082273138825,19,0,0.3972143184582181,40114,mlmpc,1,19,lane
false,380.3922304354585,0.75,false,0.25,23.05407457184597,4497.181818181818,16.900665480936865,16.900665480936865,22,0,0.34056162628811465,40115,mlmpc,1,22,lane
false,275.17384672803405,0.75,false,0.25,24.45989748693636,4634.866666666667,18.38489748693636,18.38489748693636,15,0,0.48767497911552943,40116,mlmpc,1,15,lane
false,719.3520439153929,0.75,false,0.25,31.971201951795237,3106.3333333333335,27.03370195179523,26.315773459054352,30,0,0.2259355409925655,40117,mlmpc,1,30,lane
false,637.0609345410469,0.75,false,0.25,31.459799236594908,3391.3333333333335,30.640354792150482,29.2960602189673,27,0,0.263520094465742,40118,mlmpc,1,27,lane
false,937.1031528777158,0.75,false,0.25,33.76948298658436,3450.4594594594596,32.86745595955734,29.508178760897504,37,0,0.15777921478822676,40119,mlmpc,1,37,lane
false,435.0800357752997,0.75,false,0.25,24.17111309862776,4010.2916666666665,18.671113098627764,18.671113098627764,24,0,0.30735686772502346,40120,mlmpc,1,24,lane
false,839.3526720131373,0.75,false,0.25,26.026439442267822,3077.3488372093025,18.72702083761665,18.72702083761665,43,0,0.11598222130000553,40121,mlmpc,1,43,lane
false,168.49606739434455,0.75,false,0.25,32.0944890274942,4036.8571428571427,31.07663188463706,26.120012247429322,7,1,0.5513189179687499,40122,mlmpc,1,7,lane
false,813.7960500984269,0.75,false,0.25,35.0019806493947,3016.2580645161293,32.23181935907215,30.568837597798034,31,0,0.2146387639429372,40123,mlmpc,1,31,lane
false,412.87548188332005,0.75,false,0.25,30.583369028394078,3274.5,28.020869028394088,28.020869028394088,18,0,0.41812033521917696,40124,mlmpc,1,18,lane
false,324.79429840140995,0.75,false,0.25,28.87060430234755,3381.6666666666665,26.17060430234754,26.17060430234754,15,1,0.36575623433664706,40125,mlmpc,1,15,lane
false,601.2083682476969,0.75,false,0.25,30.831198371676763,3266.1923076923076,28.898506063984442,27.065122236431026,26,0,0.27738957312183365,40126,mlmpc,1,26,lane
false,331.1780531884842,0.75,false,0.25,23.240565136033982,4069.7894736842104,18.42477566234976,18.42477566234976,19,0,0.3972143184582181,40127,mlmpc,1,19,lane
false,583.4217181954901,0.75,false,0.25,35.358892011847885,3265.7727272727275,33.245255648211504,29.0647433356097,22,0,0.34056162628811465,40128,mlmpc,1,22,lane
false,770.5909981933931,0.75,false,0.25,35.42947118130543,2924.6206896551726,33.502747043374384,28.839895392228264,29,0,0.2378268852553321,40129,mlmpc,1,29,lane
false,527.6551889005118,0.75,false,0.25,21.98563287085466,4346.40625,17.333289120854673,17.333289120854673,32,0,0.20390682574579033,40130,mlmpc,1,32,lane
false,658.0710175699356,0.75,false,0.25,32.497334200984476,2479.3333333333335,31.261223089873376,25.941570489247216,27,1,0.1976400708493065,40131,mlmpc,1,27,lane
